1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
2,"['X', 'O', 'O', 'X', 'X', 'O', 'O', 'X', 'X']",Player wins!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
2,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
3,"['X', 'O', 'X', 'O', 'X', 'O', 'X', '', '']",Player wins!
4,"['X', 'O', 'O', 'X', 'X', 'O', 'O', 'X', 'X']",Player wins!
5,"['O', 'O', 'O', '', '', 'X', '', 'X', 'X']",AI wins!
6,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
1,"['X', 'O', 'X', 'O', 'O', 'O', 'X', '', 'X']",AI wins!
2,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
1,"['X', 'O', 'X', 'O', 'O', 'X', 'X', 'O', '']",AI wins!
1,"['X', 'O', 'X', 'O', 'O', 'X', 'X', 'O', '']",AI wins!
2,"['O', 'O', '', '', '', '', 'X', 'X', 'X']",Player wins!
1,"['O', 'O', 'X', 'O', '', 'X', '', 'X', 'X']",Player wins!
1,"['O', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'X']",Player wins!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Player wins!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
2,"['O', 'O', 'O', 'X', '', 'X', 'X', '', '']",A IA vence!
3,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
2,"['O', 'O', 'O', 'X', 'X', '', 'X', '', '']",A IA vence!
1,"['O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X']",Draw
1,"['O', 'O', 'O', '', 'X', 'X', '', '', 'X']",A IA vence!
2,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
1,"['O', 'O', 'O', '', 'X', 'X', 'X', '', '']",A IA vence!
1,"['O', 'O', 'O', 'X', '', 'X', '', '', 'X']",A IA vence!
1,"['O', 'O', 'O', 'X', '', 'X', 'X', '', '']",A IA vence!
1,"['O', 'O', 'X', '', '', 'X', '', '', 'X']",Jogador vence!
1,"['O', 'O', 'X', 'O', 'O', 'X', 'X', 'X', 'X']",Jogador vence!
1,"['O', 'O', 'O', '', 'X', 'X', '', '', 'X']",A IA vence!
1,"['O', 'O', 'O', 'X', '', 'X', 'X', '', '']",A IA vence!
1,"['O', 'X', 'O', 'X', 'X', 'O', '', 'X', '']",Jogador vence!
2,"['O', 'O', 'O', 'X', '', '', 'X', '', 'X']",A IA vence!
1,"['O', 'O', 'O', 'X', 'X', '', '', '', 'X']",A IA vence!
2,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
1,"['X', 'O', 'O', 'X', '', '', 'X', '', '']",Jogador vence!
1,"['O', 'O', 'O', 'X', '', 'X', 'X', '', '']",A IA vence!
